Time (s),Temperature (K)
0.0002189731087626903,1509.847092619643
0.00021904859649021714,1512.884186116564
0.00021912408421774398,1515.8940081945561
0.00021919957194527082,1518.8765982307755
0.00021927505967279766,1521.8320226075143
0.0002193505474003245,1524.7603728033416
0.00021942603512785133,1527.6617635215687
0.00021950152285537817,1530.536330878925
0.000219577010582905,1533.3842306428091
0.00021965249831043185,1536.2056365257674
0.0002197279860379587,1539.0007385499398
0.00021980347376548552,1541.769741485842
0.00021987896149301236,1544.5128633640118
0.0002199544492205392,1547.2303340593762
0.00022002993694806604,1549.922393950844
0.00022010542467559288,1552.58929265808
0.00022018091240311971,1555.2312878550026
0.00022025640013064655,1557.8486441581897
0.0002203318878581734,1560.4416320885089
0.00022040737558570023,1563.0105271045375
0.00022048286331322707,1565.5556087059178
0.0002205583510407539,1568.0771596041461
0.00022063383876828074,1570.5754649579578
0.00022070932649580758,1573.0508116704636
0.00022078481422333442,1575.5034877451933
0.00022086030195086126,1577.9337816980915
0.0002209357896783881,1580.3419820223946
0.00022101127740591493,1582.7283767033055
0.00022108676513344177,1585.0932527794384
0.0002211622528609686,1587.436895948088
0.00022123774058849545,1589.7595902114185
0.00022131322831602228,1592.0616175607474
0.00022138871604354912,1594.3432576961923
0.00022146420377107596,1596.6047877790702
0.0002215396914986028,1598.8464822145595
0.00022161517922612964,1601.0686124622364
0.00022169066695365647,1603.2714468722384
0.0002217661546811833,1605.455250544924
0.00022184164240871015,1607.6202852120234
0.000221917130136237,1609.7668091373987
0.00022199261786376383,1611.8950770356544
0.00022206810559129066,1614.0053400069605
0.0002221435933188175,1616.097845486558
0.00022221908104634434,1618.1728372075206
0.00022229456877387118,1620.230555175469
0.00022237005650139802,1622.2712356540235
0.00022244554422892485,1624.2951111598734
0.0002225210319564517,1626.3024104664253
0.00022259651968397853,1628.293358615095
0.00022267200741150537,1630.2681769333785
0.0002227474951390322,1632.227083058902
0.00022282298286655904,1634.1702909687194
0.00022289847059408588,1636.0980110132114
0.00022297395832161272,1638.0104499539898
0.00022304944604913956,1639.9078110052487
0.00022316304681170435,1642.73515169282
0.00022327664757426915,1645.529462956421
0.00022339024833683394,1648.291393383918
0.00022350384909939873,1651.021574621455
0.00022361744986196353,1653.7206217898915
0.00022373105062452832,1656.3891338974056
0.00022384465138709312,1659.0276942594555
0.0002239582521496579,1661.6368709298947
0.0002240718529122227,1664.2172171323302
0.0002241854536747875,1666.7692716826557
0.0002242990544373523,1669.293559403908
0.00022441265519991709,1671.7905915372733
0.00022452625596248188,1674.260866148254
0.00022463985672504667,1676.704868524191
0.00022475345748761147,1679.1230715610789
0.00022486705825017626,1681.5159361398619
0.00022498065901274106,1683.8839114932564
0.00022509425977530585,1686.227435564064
0.00022520786053787064,1688.5469353539288
0.00022532146130043544,1690.8428272597776
0.00022543506206300023,1693.1155173961963
0.00022554866282556503,1695.365401913662
0.00022566226358812982,1697.592867306951
0.00022577586435069461,1699.798290710147
0.0002258894651132594,1701.982040181351
0.0002260030658758242,1704.1444749797986
0.000226116666638389,1706.2859458340029
0.0002262302674009538,1708.4067951997602
0.00022634386816351858,1710.5073575093227
0.00022645746892608338,1712.5879594126845
0.00022657106968864817,1714.6489200103993
0.00022668467045121297,1716.6905510779175
0.00022679827121377776,1718.7131572824835
0.00022691187197634255,1720.7170363929124
0.00022702547273890735,1722.7024794817764
0.00022713907350147214,1724.6697711203221
0.00022725267426403694,1726.6191895670543
0.00022736627502660173,1728.5510069500788
0.00022747987578916652,1730.4654894427897
0.00022759347655173132,1732.3628974333544
0.0002277070773142961,1734.2434856888324
0.0002278206780768609,1736.1075035138392
0.0002279342788394257,1737.9551949033855
0.0002280478796019905,1739.7867986904746
0.0002281614803645553,1741.602548689208
0.00022827508112712008,1743.402673833107
0.00022847267109206646,1746.4971372387358
0.00022867026105701283,1749.5461534663116
0.00022881522385233188,1751.7548188264204
0.00022896018664765092,1753.940042265666
0.00022910514944296997,1756.1022366624961
0.00022925011223828902,1758.241804490133
0.00022939507503360807,1760.3591381624108
0.0002295400378289271,1762.4546203592001
0.00022968500062424616,1764.528624341302
0.0002298299634195652,1766.5815142543854
0.00022997492621488425,1768.6136454213859
0.0002301198890102033,1770.6253646254918
0.00023026485180552235,1772.6170103812888
0.0002303672618933467,1774.0121042894455
0.00023046967198117106,1775.3974591801116
0.0002305720820689954,1776.7731873429952
0.00023067449215681977,1778.139399219866
0.00023077690224464412,1779.4962034420682
0.00023087931233246848,1780.843706868113
0.00023098172242029283,1782.1820146246587
0.0002310841325081172,1783.5112301449738
0.00023115580657950257,1784.4361584575915
0.00023122748065088796,1785.3567174850975
0.00023129915472227335,1786.2729412570275
0.00023137082879365873,1787.1848634256291
0.00023144250286504412,1788.0925172691484
0.0002315141769364295,1788.9959356970826
0.0002315858510078149,1789.895151258065
0.00023165752507920028,1790.790196145462
0.00023172919915058566,1791.6811021994613
0.00023180087322197105,1792.5679009114856
0.00023185379844279709,1793.2201085470829
0.00023190672366362312,1793.8701060439937
0.00023195964888444916,1794.517905727573
0.0002320125741052752,1795.163519824436
0.00023206549932610124,1795.8069604646207
0.00023211842454692728,1796.4482396827207
0.00023217134976775332,1797.0873694182133
