X,temp,u,rho,X_CH4,X_CH3,X_CH2,X_CH,X_CH2O,X_HCO,X_CO2,X_CO,X_H2,X_H,X_O2,X_O,X_OH,X_HO2,X_H2O2,X_H2O,X_N2
0.01570283203125,1275.9239768243217,4.231399754887386,0.24249180324537026,0.006389012398483369,0.0006910669528365375,6.244345130973913e-06,1.64712691104585e-07,0.0003894641164199445,8.353106743988835e-05,0.002775755267045604,0.014639606196486797,0.05615316866214448,0.008403741685764582,0.10797188300982033,0.0018866340455066374,0.00210086789073923,9.135076254908091e-05,7.306692725189486e-05,0.12835943409754372,0.6699850078621458
0.015703491210937497,1278.6326467386123,4.24042398568462,0.24197574588735982,0.006296394731976948,0.0006890294873398275,6.294354770631069e-06,1.6729273074194868e-07,0.0003885688191987453,8.380394950568284e-05,0.0028000872064574264,0.014715031907380126,0.05589886856135166,0.00845698233683581,0.10761656464929355,0.001910232672664204,0.0021225873250323188,9.080310205488019e-05,7.23559252995624e-05,0.1288592529535284,0.6699929747245795
0.015704150390624998,1281.3264975728557,4.249400056075201,0.24146461695169624,0.006204479631907766,0.0006868589293216837,6.3430585853566766e-06,1.6986763547671215e-07,0.0003876087436153107,8.405921894204985e-05,0.00282451927330892,0.014789878871321993,0.05564501052594058,0.008510195383937397,0.10726172840267402,0.001934013710924327,0.0021444790579080476,9.02568043542539e-05,7.16508917820692e-05,0.1293577473099587,0.670001000317882
0.0157048095703125,1284.0054599716734,4.258327711903553,0.24095838231202402,0.006113275676947964,0.0006845568915393803,6.390422055846119e-06,1.7243591627815634e-07,0.0003865843916883335,8.429676271095752e-05,0.002849050621344896,0.014864136177378875,0.055391600295051205,0.008563376445956969,0.10690739658257647,0.001957976185641684,0.002166542146533181,8.971191980079733e-05,7.09518346120953e-05,0.1298548950358305,0.6700090861744146
0.01570546875,1286.6694674415598,4.267206708346634,0.24045700781444787,0.006022791159598886,0.0006821250651901309,6.436411678957374e-06,1.7499607016747253e-07,0.00038549629912349695,8.45164788708508e-05,0.002873680396597264,0.014937793097613773,0.055138643700752825,0.008616521121915644,0.10655359136536678,0.0019821190555558282,0.002188775607949756,8.916849911398952e-05,7.025876128371391e-05,0.13035067419956742,0.6700172337837506
0.0157061279296875,1289.3184563746859,4.2760368100011705,0.23996045927736492,0.005933034083943382,0.0006795652176899885,6.4809950104388145e-06,1.7754658200990538e-07,0.00038434503481559785,8.47182766043235e-05,0.002898407737648398,0.015010839092313936,0.05488614666691579,0.008669624992418709,0.1062003347853435,0.0020064412122546916,0.0022111784190191053,8.862659332888615e-05,6.957167885645989e-05,0.1308450630743985,0.6700254445928564
0.015706787109375002,1291.9523660711818,4.28481779096619,0.23946870249142038,0.005844012163630904,0.0006768791903706612,6.524140705960984e-06,1.8008592638570197e-07,0.0003831312003200845,8.490207623108864e-05,0.0029232317758955515,0.015083263815097565,0.05463411520799134,0.00872268362112673,0.10584764872900214,0.0020309414796876478,0.0022337495163921657,8.808625374960295e-05,6.889059393933286e-05,0.13133804014364325,0.6700337200062895
0.01570810546875,1297.174844495827,4.302231949505175,0.2384994042296814,0.005668199216036887,0.0006711347168607417,6.606029327014813e-06,1.8512646062436115e-07,0.00038051793215486694,8.521550036718489e-05,0.002973165294570021,0.015226216049294299,0.0541314682502442,0.008828651936768038,0.10514407260118315,0.002080471457387914,0.0022793921661650894,8.701045546014555e-05,6.754646239643579e-05,0.13231967891087987,0.6700504678944437
0.015709423828125,1302.3366141714491,4.319448036666169,0.23754881366900052,0.005495397964015379,0.0006649115906625051,6.681849435886723e-06,1.901041340100316e-07,0.0003776638643329514,8.545669754574576e-05,0.0030234724960622214,0.015366577545468513,0.0536307551332244,0.008934385897470733,0.10444302420370351,0.0021306957160443694,0.002325691914911812,8.594150590563174e-05,6.622626246080081e-05,0.13329544019381603,0.6700674870608055
0.0157107421875,1307.4373001925098,4.336464609234703,0.2366166564878483,0.005325659064001968,0.0006582269222766926,6.75139681504084e-06,1.950066308978586e-07,0.0003745749438679021,8.562546187232928e-05,0.003074146185402539,0.015504273542658842,0.05313202707374924,0.009039849579807172,0.10374467180952782,0.0021816023656962636,0.0023726387769959873,8.487981258042722e-05,6.493002714045269e-05,0.1342651607123609,0.6700847873186156
